Step,qwen3-4b-adam-3e-6-trace-constraint-1e-4 - actor/kl_loss,qwen3-4b-adam-3e-6-trace-constraint-0.0 - actor/kl_loss
1,0,0
2,0,0
3,6.32372E-06,6.3074E-06
4,6.5208E-06,6.20002E-06
5,7.02081E-06,6.73456E-06
6,7.72435E-06,7.09365E-06
7,9.7219E-06,9.95614E-06
8,1.65233E-05,1.7878E-05
9,3.37261E-05,3.40309E-05
10,5.57691E-05,5.39508E-05
11,7.43941E-05,7.04296E-05
12,9.27073E-05,8.99356E-05
13,0.000113464,0.000116765
14,0.000128195,0.000116168
15,0.000167135,0.000151029
16,0.000174695,0.000173212
17,0.000178311,0.000173777
18,0.000191215,0.000183852
19,0.000210055,0.000197969
20,0.000220209,0.000209215
21,0.000222382,0.00020617
22,0.000230112,0.000213346
23,0.000239652,0.000238959
24,0.000254367,0.000241399
25,0.000218149,0.000206865
26,0.000244484,0.000212986
27,0.000256055,0.000242949
28,0.000258215,0.000234544
29,0.000282542,0.00026592
30,0.000292369,0.000257855
31,0.00028803,0.000264441
32,0.000262052,0.000251289
33,0.0003043,0.000283608
34,0.000274054,0.000252155
35,0.000279817,0.000272233
36,0.000322529,0.000278345
37,0.000253675,0.000261239
38,0.000336224,0.000304167
39,0.000317636,0.000253656
40,0.000335122,0.000320853
41,0.000303032,0.000309305
42,0.000304441,0.000307938
43,0.000278291,0.000305933
44,0.0003056,0.000288073
45,0.000291611,0.000328421
46,0.000317981,0.000316492
47,0.000345425,0.000291135
48,0.000309602,0.000350127
49,0.000333843,0.000382109
50,0.000314544,0.000347682
51,0.000319948,0.000354626
52,0.000363185,0.000358219
53,0.000348596,0.000377575
54,0.000364308,0.00034135
55,0.000353058,0.000366278
56,0.000357442,0.000407043
57,0.00035055,0.000385311
58,0.00035647,0.000397453
59,0.000330716,0.00036171
60,0.000336523,0.000380879
61,0.000333855,0.000401427
62,0.000348692,0.000371056
63,0.000347395,0.000410425
64,0.000341018,0.000387785
65,0.000367751,0.00043595
66,0.000409203,0.000418739
67,0.000382723,0.000423791
68,0.000378475,0.000419164
69,0.00041638,0.00042644
70,0.000435248,0.000451467
71,0.000423121,0.000466377
72,0.000392979,0.000449082
73,0.000403758,0.000410345
74,0.000395154,0.000455437
75,0.000449447,0.000465183
76,0.000415128,0.000421972
77,0.000424707,0.000465086
78,0.00043415,0.00044484
79,0.0004308,0.000471144
80,0.000453913,0.00049352
81,0.000447493,0.000474021
82,0.000439067,0.000479226
83,0.000425993,0.000525758
84,0.000430569,0.000463514
85,0.000425023,0.000462666
86,0.000442831,0.000439955
87,0.000457141,0.000428258
88,0.000440863,0.000445877
89,0.000478635,0.000448465
90,0.000444897,0.000490946
91,0.00052906,0.000452478
92,0.000464102,0.000482732
93,0.000490829,0.000451511
94,0.000488348,0.000474219
95,0.000466887,0.000475469
96,0.000457966,0.000466912
97,0.000469413,0.000445661
98,0.000547498,0.000495338
99,0.000479175,0.000455009
